beta0,p,delta_s8,delta_xi_plus,cancel_residual
0.19999999999999998,0.0,0.0018016097802140418,0.0036032195604280837,0.013201609780214042
0.19999999999999998,0.5,0.00117742825261824,0.00235485650523648,0.01257742825261824
0.19999999999999998,1.0,0.0008136283684820889,0.0016272567369641777,0.01221362836848209
0.19999999999999998,1.5,0.0005879045359735713,0.0011758090719471426,0.011987904535973572
0.19999999999999998,2.0,0.0004404900667993594,0.0008809801335987189,0.01184049006679936
0.22499999999999998,-2.0,0.035471280106125214,0.07094256021225043,0.046871280106125214
0.22499999999999998,-1.5,0.01397224933208685,0.0279444986641737,0.02537224933208685
0.22499999999999998,-1.0,0.006772899250290232,0.013545798500580464,0.018172899250290232
0.22499999999999998,-0.5,0.003748437134720728,0.007496874269441456,0.015148437134720728
0.22499999999999998,0.0,0.002280505221980089,0.004561010443960178,0.01368050522198009
0.22499999999999998,0.5,0.0014903021148049422,0.0029806042296098845,0.012890302114804943
0.22499999999999998,1.0,0.0010298157019206222,0.0020596314038412444,0.012429815701920623
0.22499999999999998,1.5,0.0007440867240424698,0.0014881734480849396,0.01214408672404247
0.22499999999999998,2.0,0.0005575135428252942,0.0011150270856505884,0.011957513542825295
0.24999999999999997,-2.0,0.043915398421793705,0.08783079684358741,0.055315398421793706
0.24999999999999997,-1.5,0.01726800500882142,0.03453601001764284,0.02866800500882142
0.24999999999999997,-1.0,0.008365693191038082,0.016731386382076163,0.019765693191038082
0.24999999999999997,-0.5,0.004628939175406632,0.009257878350813264,0.016028939175406633
0.24999999999999997,0.0,0.002815967684415499,0.005631935368830998,0.0142159676844155
0.24999999999999997,0.5,0.0018400720140894222,0.0036801440281788445,0.013240072014089423
0.24999999999999997,1.0,0.0012714684541870191,0.0025429369083740383,0.01267146845418702
0.24999999999999997,1.5,0.0009186742076101595,0.001837348415220319,0.01231867420761016
0.24999999999999997,2.0,0.0006883135781221572,0.0013766271562443144,0.012088313578122158
0.27499999999999997,-2.0,0.05330368753987624,0.10660737507975249,0.06470368753987624
0.27499999999999997,-1.5,0.020918148476891885,0.04183629695378377,0.032318148476891885
0.27499999999999997,-1.0,0.01012791751230413,0.02025583502460826,0.02152791751230413
0.27499999999999997,-0.5,0.005602665272082641,0.011205330544165282,0.01700266527208264
0.27499999999999997,0.0,0.0034079174605359253,0.0068158349210718505,0.014807917460535926
0.27499999999999997,0.5,0.002226740215031331,0.004453480430062662,0.013626740215031331
