L,C_L_LCDM_arb,ratio_SQT_central,N_L_S4
330,1.98898018192872e-08,1.0229299600000001,4.072301234567902e-09
331,1.9843247618877374e-08,1.0229299600000001,4.0731816047614694e-09
332,1.9796969295951322e-08,1.0229299600000001,4.074069990403902e-09
333,1.975096436661113e-08,1.0229299600000001,4.07496644e-09
334,1.970523037671036e-08,1.0229299600000001,4.075871002200884e-09
335,1.9659764901410004e-08,1.0229299600000001,4.076783725803994e-09
336,1.9614565544742358e-08,1.0229299600000001,4.077704659753087e-09
337,1.9569629939182658e-08,1.0229299600000001,4.078633853138241e-09
338,1.9524955745228332e-08,1.0229299600000001,4.079571355195855e-09
339,1.9480540650985683e-08,1.0229299600000001,4.080517215308642e-09
340,1.943638237176387e-08,1.0229299600000001,4.08147148300564e-09
341,1.9392478649676057e-08,1.0229299600000001,4.082434207962201e-09
342,1.934882725324752e-08,1.0229299600000001,4.0834054400000004e-09
343,1.9305425977030627e-08,1.0229299600000001,4.0843852290870294e-09
344,1.9262272641226558e-08,1.0229299600000001,4.085373625337602e-09
345,1.921936509131355e-08,1.0229299600000001,4.086370679012346e-09
346,1.9176701197681642e-08,1.0229299600000001,4.0873764405182145e-09
347,1.91342788552737e-08,1.0229299600000001,4.0883909604084745e-09
348,1.909209598323266e-08,1.0229299600000001,4.089414289382716e-09
349,1.9050150524554795e-08,1.0229299600000001,4.090446478286847e-09
350,1.9008440445748976e-08,1.0229299600000001,4.091487578113093e-09
351,1.8966963736501717e-08,1.0229299600000001,4.09253764e-09
352,1.892571840934795e-08,1.0229299600000001,4.093596715232434e-09
353,1.8884702499347384e-08,1.0229299600000001,4.094664855241579e-09
354,1.8843914063766373e-08,1.0229299600000001,4.095742111604938e-09
355,1.880335118176513e-08,1.0229299600000001,4.096828536046335e-09
356,1.876301195409022e-08,1.0229299600000001,4.097924180435909e-09
357,1.8722894502772242e-08,1.0229299600000001,4.099029096790123e-09
358,1.8682996970828567e-08,1.0229299600000001,4.100143337271757e-09
359,1.864331752197103e-08,1.0229299600000001,4.10126695418991e-09
360,1.8603854340318494e-08,1.0229299600000001,4.1024e-09
361,1.8564605630114233e-08,1.0229299600000001,4.103542527303764e-09
362,1.8525569615447937e-08,1.0229299600000001,4.104694588849262e-09
363,1.8486744539982366e-08,1.0229299600000001,4.1058562375308646e-09
364,1.8448128666684474e-08,1.0229299600000001,4.10702752638927e-09
365,1.8409720277560965e-08,1.0229299600000001,4.1082085086114926e-09
366,1.83715176733982e-08,1.0229299600000001,4.109399237530864e-09
367,1.8333519173506314e-08,1.0229299600000001,4.110599766627039e-09
368,1.829572311546756e-08,1.0229299600000001,4.111810149525987e-09
369,1.8258127854888703e-08,1.0229299600000001,4.11303044e-09
370,1.822073176515743e-08,1.0229299600000001,4.1142606919676875e-09
371,1.8183533237202762e-08,1.0229299600000001,4.1155009594939795e-09
372,1.8146530679259205e-08,1.0229299600000001,4.116751296790124e-09
373,1.810972251663484e-08,1.0229299600000001,4.118011758213687e-09
374,1.8073107191483028e-08,1.0229299600000001,4.119282398268557e-09
375,1.8036683162577816e-08,1.0229299600000001,4.120563271604938e-09
376,1.8000448905092906e-08,1.0229299600000001,4.121854433019357e-09
377,1.7964402910384166e-08,1.0229299600000001,4.123155937454657e-09
378,1.792854368577555e-08,1.0229299600000001,4.124467840000001e-09
379,1.7892869754348466e-08,1.0229299600000001,4.1257901958908704e-09
380,1.7857379654734433e-08,1.0229299600000001,4.127123060509069e-09
381,1.7822071940910984e-08,1.0229299600000001,4.128466489382716e-09
382,1.778694518200083e-08,1.0229299600000001,4.129820538186253e-09
383,1.7751997962074125e-08,1.0229299600000001,4.131185262740436e-09
384,1.7717228879953828e-08,1.0229299600000001,4.1325607190123455e-09
385,1.7682636549024128e-08,1.0229299600000001,4.133946963115378e-09
386,1.7648219597041814e-08,1.0229299600000001,4.135344051309252e-09
387,1.761397666595056e-08,1.0229299600000001,4.136752040000001e-09
388,1.757990641169815e-08,1.0229299600000001,4.138170985739979e-09
389,1.7546007504056406e-08,1.0229299600000001,4.139600945227862e-09
390,1.7512278626444035e-08,1.0229299600000001,4.141041975308643e-09
391,1.747871847575204e-08,1.0229299600000001,4.142494132973632e-09
392,1.744532576217193e-08,1.0229299600000001,4.143957475360464e-09
393,1.7412099209026462e-08,1.0229299600000001,4.145432059753087e-09
394,1.7379037552603032e-08,1.0229299600000001,4.146917943581772e-09
