# log10_L[m]	log10_tau_q[s]
-9.916527545909854524e-01	-3.505146598892780219e+01
-9.215358931552586341e-01	-3.412914428486516272e+01
-8.514190317195335922e-01	-3.310796605196160414e+01
-7.813021702838067739e-01	-3.198284644793852038e+01
-7.111853088480799556e-01	-3.074985958164089794e+01
-6.410684474123549137e-01	-2.940660789331234071e+01
-5.709515859766280954e-01	-2.795259837913548040e+01
-5.008347245409012771e-01	-2.638959890126544039e+01
-4.307178631051762352e-01	-2.472194183560727510e+01
-3.606010016694494169e-01	-2.295673881608783518e+01
-2.904841402337225986e-01	-2.110397082123503054e+01
-2.203672787979975567e-01	-1.917642349776693322e+01
-1.502504173622707384e-01	-1.718944887893643170e+01
-8.013355592654392012e-02	-1.516055088894998448e+01
-1.001669449081887819e-02	-1.310881133665394138e+01
6.010016694490794009e-02	-1.105419254135752105e+01
1.302170283806347584e-01	-9.016768854841183511e+00
2.003338898163598003e-01	-7.015949022796620582e+00
2.704507512520866186e-01	-5.069752595478373536e+00
3.405676126878134369e-01	-3.194196188546893467e+00
4.106844741235384788e-01	-1.402830831890168994e+00
4.808013355592652971e-01	2.935472014282058950e-01
5.509181969949903390e-01	1.887009378555815076e+00
6.210350584307171573e-01	3.372446354376302580e+00
6.911519198664439756e-01	4.747385338147855904e+00
7.612687813021690175e-01	6.011708083280536741e+00
8.313856427378958358e-01	7.167306069440504857e+00
9.015025041736226541e-01	8.217706944056802243e+00
9.716193656093476960e-01	9.167700860486375447e+00
1.041736227045074514e+00	1.002298846769871510e+01
1.111853088480801333e+00	1.078986521242859986e+01
1.181969949916526375e+00	1.147495018546613998e+01
1.252086811352253193e+00	1.208496247596680639e+01
1.322203672787980011e+00	1.262654406894406200e+01
1.392320534223705053e+00	1.310612568206822637e+01
1.462437395659431871e+00	1.352983040552914851e+01
1.532554257095158690e+00	1.390340934296862052e+01
1.602671118530883732e+00	1.423220340871059086e+01
1.672787979966610550e+00	1.452112580094817851e+01
1.742904841402337368e+00	1.477466026847173275e+01
1.813021702838062410e+00	1.499687099074278329e+01
1.883138564273789228e+00	1.519142060867998545e+01
1.953255425709516047e+00	1.536159362038257292e+01
2.023372287145241089e+00	1.551032296106193975e+01
2.093489148580967907e+00	1.564021810620023523e+01
2.163606010016694725e+00	1.575359346954975770e+01
2.233722871452419767e+00	1.585249621819977328e+01
2.303839732888146585e+00	1.593873290447376512e+01
2.373956594323873404e+00	1.601389452929258539e+01
2.444073455759598446e+00	1.607937981435761543e+01
2.514190317195325264e+00	1.613641658086790898e+01
2.584307178631050306e+00	1.618608121915341513e+01
2.654424040066777124e+00	1.622931629397987052e+01
2.724540901502503942e+00	1.626694637049626380e+01
2.794657762938228984e+00	1.629969217083346678e+01
2.864774624373955803e+00	1.632818318518945944e+01
2.934891485809682621e+00	1.635296886695990537e+01
3.005008347245407663e+00	1.637452854148980208e+01
3.075125208681134481e+00	1.639328015415723172e+01
3.145242070116861299e+00	1.640958797711925143e+01
3.215358931552586341e+00	1.642376938616080650e+01
3.285475792988313160e+00	1.643610081042074000e+01
3.355592654424039978e+00	1.644682294884149343e+01
3.425709515859765020e+00	1.645614533835942694e+01
3.495826377295491838e+00	1.646425035035704099e+01
3.565943238731218656e+00	1.647129668388672030e+01
3.636060100166943698e+00	1.647742241673312691e+01
3.706176961602670517e+00	1.648274766854666495e+01
3.776293823038397335e+00	1.648737692406215416e+01
3.846410684474122377e+00	1.649140105879995843e+01
3.916527545909849195e+00	1.649489910460442132e+01
3.986644407345576013e+00	1.649793978786902215e+01
4.056761268781301055e+00	1.650058286928960882e+01
4.126878130217026097e+00	1.650288031043258030e+01
4.196994991652754692e+00	1.650487728926251663e+01
4.267111853088479734e+00	1.650661308400186300e+01
4.337228714524204776e+00	1.650812184225574342e+01
4.407345575959933370e+00	1.650943325019131080e+01
4.477462437395658412e+00	1.651057311468022348e+01
4.547579298831383454e+00	1.651156386966524892e+01
4.617696160267112049e+00	1.651242501656938799e+01
4.687813021702837091e+00	1.651317350730495903e+01
4.757929883138562133e+00	1.651382407733809643e+01
4.828046744574290727e+00	1.651438953530197651e+01
4.898163606010015769e+00	1.651488101481293569e+01
4.968280467445740811e+00	1.651530819341099487e+01
5.038397328881469406e+00	1.651567948290868415e+01
5.108514190317194448e+00	1.651600219487557908e+01
5.178631051752919490e+00	1.651628268450166104e+01
5.248747913188648084e+00	1.651652647566085008e+01
5.318864774624373126e+00	1.651673836962867981e+01
5.388981636060098168e+00	1.651692253958838208e+01
5.459098497495826763e+00	1.651708261278179535e+01
5.529215358931551805e+00	1.651722174191890602e+01
5.599332220367276847e+00	1.651734266724976052e+01
5.669449081803005441e+00	1.651744777051900215e+01
5.739565943238730483e+00	1.651753912186415363e+01
5.809682804674455525e+00	1.651761852057991575e+01
5.879799666110184120e+00	1.651768753055070960e+01
5.949916527545909162e+00	1.651774751104842665e+01
6.020033388981634204e+00	1.651779964350155794e+01
6.090150250417362798e+00	1.651784495476251990e+01
6.160267111853087840e+00	1.651788433733126382e+01
6.230383973288812882e+00	1.651791856693311189e+01
6.300500834724541477e+00	1.651794831779704964e+01
6.370617696160266519e+00	1.651797417593514083e+01
6.440734557595991561e+00	1.651799665068465117e+01
6.510851419031720155e+00	1.651801618474005551e+01
6.580968280467445197e+00	1.651803316287253054e+01
6.651085141903170239e+00	1.651804791950865692e+01
6.721202003338898834e+00	1.651806074531749502e+01
