# log10_L[m]	log10_tau_q[s]
2.754590984974958445e+01	1.651028006541930893e+01
2.761602671118530594e+01	1.651124660968763891e+01
2.768614357262103454e+01	1.651210235614008681e+01
2.775626043405676313e+01	1.651285893328747534e+01
2.782637729549248462e+01	1.651352688786185041e+01
2.789649415692821321e+01	1.651411576819964466e+01
2.796661101836394181e+01	1.651463420329183762e+01
2.803672787979966330e+01	1.651508997746445573e+01
2.810684474123539189e+01	1.651549010069484069e+01
2.817696160267112049e+01	1.651584087460615180e+01
2.824707846410684198e+01	1.651614795421416559e+01
2.831719532554257057e+01	1.651641640552728063e+01
2.838731218697829206e+01	1.651665075912310954e+01
2.845742904841402066e+01	1.651685505984306346e+01
2.852754590984974925e+01	1.651703291276088947e+01
2.859766277128547074e+01	1.651718752559192538e+01
2.866777963272119933e+01	1.651732174771768058e+01
2.873789649415692793e+01	1.651743810600548201e+01
2.880801335559264942e+01	1.651753883760532560e+01
2.887813021702837801e+01	1.651762591990672391e+01
2.894824707846410661e+01	1.651770109783678819e+01
2.901836393989982810e+01	1.651776590867789452e+01
2.908848080133555669e+01	1.651782170457893528e+01
2.915859766277128529e+01	1.651786967292888164e+01
2.922871452420700678e+01	1.651791085475500864e+01
2.929883138564273537e+01	1.651794616130133875e+01
2.936894824707846396e+01	1.651797638893540565e+01
2.943906510851418545e+01	1.651800223252364574e+01
2.950918196994991405e+01	1.651802429740784817e+01
2.957929883138564264e+01	1.651804311010695514e+01
2.964941569282136413e+01	1.651805912786051422e+01
2.971953255425709273e+01	1.651807274712209406e+01
2.978964941569282132e+01	1.651808431110324804e+01
2.985976627712854281e+01	1.651809411646103243e+01
2.992988313856427141e+01	1.651810241921477029e+01
3.000000000000000000e+01	1.651810943997091741e+01
